 'ozone','temperature'
 41, 67
 36, 72
 12, 74
 18, 62
 23, 65
 19, 59
  8, 61
 16, 69
 11, 66
 14, 68
 18, 58
 14, 64
 34, 66
  6, 57
 30, 68
 11, 62
  1, 59
 11, 73
  4, 61
 32, 61
 23, 67
 45, 81
115, 79
 37, 76
 29, 82
 71, 90
 39, 87
 23, 82
 21, 77
 37, 72
 20, 65
 12, 73
 13, 76
135, 84
 49, 85
 32, 81
 64, 83
 40, 83
 77, 88
 97, 92
 97, 92
 85, 89
 10, 73
 27, 81
  7, 80
 48, 81
 35, 82
 61, 84
 79, 87
 63, 85
 16, 74
 80, 86
108, 85
 20, 82
 52, 86
 82, 88
 50, 86
 64, 83
 59, 81
 39, 81
  9, 81
 16, 82
122, 89
 89, 90
110, 90
 44, 86
 28, 82
 65, 80
 22, 77
 59, 79
 23, 76
 31, 78
 44, 78
 21, 77
  9, 72
 45, 79
168, 81
 73, 86
 76, 97
118, 94
 84, 96
 85, 94
 96, 91
 78, 92
 73, 93
 91, 93
 47, 87
 32, 84
 20, 80
 23, 78
 21, 75
 24, 73
 44, 81
 21, 76
 28, 77
  9, 71
 13, 71
 46, 78
 18, 67
 13, 76
 24, 68
 16, 82
 13, 64
 23, 71
 36, 81
  7, 69
 14, 63
 30, 70
 14, 75
 18, 76
 20, 68
